model,bits,granularity,seed,exception,d_sink_ppl,d_sink_total_nats,d_sink_non_sink_nats,d_sink_at_sink_nats,contamination_share,n_sink_positions,n_total_positions
gpt2_small,4,per_token,0,position_0,52.421942308680855,0.025310651762938896,0.025310651762938896,,1.0,0,255
gpt2_small,4,per_token,1,position_0,52.421942308680855,0.025310651762938896,0.025310651762938896,,1.0,0,255
gpt2_small,4,per_token,2,position_0,52.421942308680855,0.025310651762938896,0.025310651762938896,,1.0,0,255
gpt2_small,4,per_token,3,position_0,52.421942308680855,0.025310651762938896,0.025310651762938896,,1.0,0,255
gpt2_small,4,per_token,4,position_0,52.421942308680855,0.025310651762938896,0.025310651762938896,,1.0,0,255
gpt2_small,6,per_tensor,0,position_0,1201.9963851903733,3.123099675878022,3.123099675878022,,1.0,0,255
gpt2_small,6,per_tensor,1,position_0,1179.446155975647,3.017861359253496,3.017861359253496,,1.0,0,255
gpt2_small,6,per_tensor,2,position_0,1203.9001026659178,3.082176832408682,3.082176832408682,,1.0,0,255
gpt2_small,6,per_tensor,3,position_0,1185.2938540285954,3.1126186423231337,3.1126186423231337,,1.0,0,255
gpt2_small,6,per_tensor,4,position_0,1207.4965824007686,3.1083267853254126,3.1083267853254126,,1.0,0,255
gpt2_small,6,per_token,0,position_0,1.1532500114624824,0.03466324069914828,0.03466324069914828,,1.0,0,255
gpt2_small,6,per_token,1,position_0,1.1532500114624824,0.03466324069914828,0.03466324069914828,,1.0,0,255
gpt2_small,6,per_token,2,position_0,1.1532500114624824,0.03466324069914828,0.03466324069914828,,1.0,0,255
gpt2_small,6,per_token,3,position_0,1.1532500114624824,0.03466324069914828,0.03466324069914828,,1.0,0,255
gpt2_small,6,per_token,4,position_0,1.1532500114624824,0.03466324069914828,0.03466324069914828,,1.0,0,255
gpt2_small,8,per_tensor,0,position_0,7.812044460830336,0.20970608717661543,0.20970608717661543,,1.0,0,255
gpt2_small,8,per_tensor,1,position_0,5.170577311196528,0.15386707613580386,0.15386707613580386,,1.0,0,255
gpt2_small,8,per_tensor,2,position_0,6.437368615287511,0.18455637536665748,0.18455637536665748,,1.0,0,255
gpt2_small,8,per_tensor,3,position_0,5.2452724238721835,0.156408480322483,0.156408480322483,,1.0,0,255
gpt2_small,8,per_tensor,4,position_0,5.503941915539233,0.16283356948429706,0.16283356948429706,,1.0,0,255
gpt2_small,8,per_token,0,position_0,0.14075345585312604,0.004714998025970196,0.004714998025970196,,1.0,0,255
gpt2_small,8,per_token,1,position_0,0.14075345585312604,0.004714998025970196,0.004714998025970196,,1.0,0,255
gpt2_small,8,per_token,2,position_0,0.14075345585312604,0.004714998025970196,0.004714998025970196,,1.0,0,255
gpt2_small,8,per_token,3,position_0,0.14075345585312604,0.004714998025970196,0.004714998025970196,,1.0,0,255
