model,seed,bits,granularity,exception,ppl_ref,ppl_quant,delta_ppl,delta_nll,nll_all,nll_sink,nll_non_sink,n_sink_cols,n_total_cols,n_exempt_positions,corpus_sha256,holdout_sha,source
gated_1b_baseline,0,6,per_tensor,none,14.70770960215786,2251.857897545987,2237.1501879438288,5.031139067677806,7.719510886711813,,7.719510886711813,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_none_calib0.json
gated_1b_baseline,1,6,per_tensor,none,14.70770960215786,1747.237182481296,1732.5294728791382,4.777419247472198,7.465791066506205,,7.465791066506205,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_none_calib1.json
gated_1b_baseline,2,6,per_tensor,none,14.70770960215786,2797.1168408614935,2782.4091312593355,5.247972646932031,7.936344465966038,,7.936344465966038,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_none_calib2.json
gated_1b_baseline,3,6,per_tensor,none,14.70770960215786,1236.7028652836088,1221.995155681451,4.4318323185897945,7.120204137623801,,7.120204137623801,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_none_calib3.json
gated_1b_baseline,4,6,per_tensor,none,14.70770960215786,2098.4025574427324,2083.6948478405743,4.960559828276365,7.648931647310372,,7.648931647310372,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_none_calib4.json
gated_1b_baseline,0,6,per_tensor,position_0,14.70770960215786,804.1110800296028,789.403370427445,4.00136559984265,6.689737418876657,,6.689737418876657,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_position_0_calib0.json
gated_1b_baseline,1,6,per_tensor,position_0,14.70770960215786,756.8789044581463,742.1711948559885,3.9408314539165543,6.629203272950561,,6.629203272950561,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_position_0_calib1.json
gated_1b_baseline,2,6,per_tensor,position_0,14.70770960215786,996.1281211290433,981.4204115268855,4.215504065949463,6.90387588498347,,6.90387588498347,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_position_0_calib2.json
gated_1b_baseline,3,6,per_tensor,position_0,14.70770960215786,561.1170960027035,546.4093864005457,3.6415577919857283,6.329929611019735,,6.329929611019735,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_position_0_calib3.json
gated_1b_baseline,4,6,per_tensor,position_0,14.70770960215786,967.2217034404476,952.5139938382898,4.186055919469372,6.874427738503379,,6.874427738503379,0,255,1,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_tensor_position_0_calib4.json
gated_1b_baseline,0,6,per_token,none,14.70770960215786,18.528023278190147,3.8203136760322867,0.23091253873479056,2.9192843577687975,,2.9192843577687975,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_none_calib0.json
gated_1b_baseline,1,6,per_token,none,14.70770960215786,18.528023278190147,3.8203136760322867,0.23091253873479056,2.9192843577687975,,2.9192843577687975,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_none_calib1.json
gated_1b_baseline,2,6,per_token,none,14.70770960215786,18.528023278190147,3.8203136760322867,0.23091253873479056,2.9192843577687975,,2.9192843577687975,0,255,0,9c8501c905092716,f47598e844632875,gated_1b_baseline_b6_per_token_none_calib2.json
